SampleID	exclude	interferent	spike_amount	spike_unit	cancer_group_expected	cancer_is_expected	cancer_is_detected	cancer_detection_is_correct	cancer_type_predicted	tm_extraction_quant_concentration	analysis_on_binary_target_coverage_stats_mean	analysis_abnormal_coverage_cpg_mean
C	FALSE	Hemoglobin	0	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.104	174.5442	0.8240993
C	TRUE	Triglycerides	400	mg/dL	cancer	TRUE	TRUE	TRUE	pancreas_gallbladder	1.024	4.4446	0.05594359
C	FALSE	Hemoglobin	500	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.086	189.1781	0.9186438
NC	FALSE	Bilirubin	20	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.103	245.299	0.2525555
C	FALSE	Bilirubin	10	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.009	215.9969	1.046394
C	FALSE	Bilirubin	5	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.166	173.5682	0.8834442
NC	FALSE	gDNA	200	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.214	198.6406	0.202734
C	FALSE	Hemoglobin	0	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.23	230.7974	1.066916
NC	FALSE	Bilirubin	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.902	129.5062	0.1189766
NC	FALSE	Hemoglobin	2000	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.902	208.7571	0.2240108
C	TRUE	gDNA	0	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.06	38.9678	0.3004993
C	FALSE	Triglycerides	100	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.022	167.9706	1.16767
NC	FALSE	Bilirubin	10	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.171	147.8896	0.1420913
NC	FALSE	Triglycerides	100	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.117	147.5854	0.1815729
NC	TRUE	Bilirubin	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.017	19.805	0.02098957
C	FALSE	gDNA	50	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.191	193.9158	1.003311
NC	FALSE	Triglycerides	100	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.07	188.5374	0.1870063
NC	FALSE	Triglycerides	400	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.075	176.1276	0.1937167
C	FALSE	gDNA	150	%	cancer	TRUE	TRUE	TRUE	upper_gi	0.995	171.076	0.8364567
C	FALSE	Triglycerides	0	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	0.963	157.4979	1.223026
NC	FALSE	Hemoglobin	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.045	184.0737	0.19394
NC	FALSE	Triglycerides	500	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.983	182.8351	0.1920975
NC	FALSE	Bilirubin	5	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.121	83.7686	0.08586585
NC	FALSE	Hemoglobin	100	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.137	165.7354	0.170536
C	FALSE	Hemoglobin	100	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.244	221.426	1.204572
C	TRUE	Hemoglobin	500	mg/dL	cancer	TRUE	TRUE	TRUE	indeterminate_localization	1.06	18.344	0.107175
C	FALSE	gDNA	100	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.271	135.9007	0.5940877
NC	FALSE	Hemoglobin	500	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.237	178.5134	0.1962984
C	TRUE	Bilirubin	10	mg/dL	cancer	TRUE	TRUE	TRUE	indeterminate_localization	1.152	10.3287	0.06482695
